condition_concept_id,concept_name,occurrences,frequency
4197245,"Gestation period, 12 weeks",29,0.015743756786102063
4049621,"Gestation period, 16 weeks",12,0.006514657980456026
4277749,"Gestation period, 17 weeks",10,0.0054288816503800215
4097608,"Gestation period, 18 weeks",10,0.0054288816503800215
4181751,"Gestation period, 19 weeks",29,0.015743756786102063
4051642,"Gestation period, 20 weeks",32,0.01737242128121607
4185780,"Gestation period, 21 weeks",15,0.008143322475570033
4274955,"Gestation period, 22 weeks",15,0.008143322475570033
4336226,"Gestation period, 23 weeks",15,0.008143322475570033
438542,Gestation less than 24 weeks,18,0.009771986970684038
435640,"Gestation period, 25 weeks",14,0.00760043431053203
432430,"Gestation period, 27 weeks",13,0.007057546145494028
444461,"Gestation period, 28 weeks",26,0.014115092290988056
444417,"Gestation period, 29 weeks",24,0.013029315960912053
442558,"Gestation period, 32 weeks",27,0.014657980456026058
441678,"Gestation period, 33 weeks",29,0.015743756786102063
443874,"Gestation period, 34 weeks",28,0.01520086862106406
444267,"Gestation period, 35 weeks",31,0.016829533116178068
4022073,Dependence on wheelchair,23,0.01248642779587405
42873170,Dependence on supplemental oxygen,56,0.03040173724212812
4322175,Late effect of complications of procedure,170,0.09229098805646037
45768812,Anemia in chronic kidney disease,96,0.05211726384364821
316135,Atrioventricular block,21,0.011400651465798045
36712827,Dehiscence of external surgical incision wound,42,0.02280130293159609
45769207,Pain provoked by trauma,11,0.005971769815418024
4152384,Non-rheumatic aortic sclerosis,56,0.03040173724212812
4261842,Sick sinus syndrome,32,0.01737242128121607
255848,Pneumonia,134,0.0727470141150923
4289309,Atrial septal defect,22,0.011943539630836048
441408,Vomiting,115,0.06243213897937025
4042728,Blood glucose abnormal,76,0.04125950054288816
434005,Morbid obesity,129,0.07003257328990228
436954,Drug abuse,14,0.00760043431053203
378735,Migraine without aura,43,0.023344191096634093
194692,Cirrhosis - non-alcoholic,34,0.018458197611292075
194993,Intestinal malabsorption,34,0.018458197611292075
440785,Vomiting of pregnancy,14,0.00760043431053203
79908,Muscle weakness,94,0.051031487513572206
432250,Disorder due to infection,40,0.021715526601520086
254591,Secondary malignant neoplasm of lung,56,0.03040173724212812
432881,Pancytopenia,83,0.04505971769815418
26662,Testicular hypofunction,35,0.019001085776330078
4096196,Mild protein-calorie malnutrition (weight for age 75-89 percent of standard),45,0.024429967426710098
435510,Hypocalcemia,61,0.03311617806731813
441267,Cystic fibrosis,12,0.006514657980456026
377844,Status migrainosus,17,0.009229098805646038
374034,Visual disturbance,99,0.05374592833876222
40479192,Chronic systolic heart failure,110,0.05971769815418024
3655266,Pleural effusion due to malignant neoplastic disease,35,0.019001085776330078
78786,Pleurisy,60,0.03257328990228013
195847,Gastroparesis syndrome,39,0.021172638436482084
80180,Osteoarthritis,106,0.05754614549402823
